NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
LOW-DENSITY LIPOPROTEIN PARTICLE RECEPTOR CATABOLIC PROCESS%GOBP%GO:0032802	1		Rejected!	
REGULATION OF MORPHOGENESIS OF A BRANCHING STRUCTURE%GOBP%GO:0060688	26		Rejected!	
POSITIVE REGULATION OF HYDROGEN PEROXIDE CATABOLIC PROCESS%GOBP%GO:1903285	1		Rejected!	
INORGANIC ION TRANSMEMBRANE TRANSPORT%GOBP%GO:0098660	455	180		
NUCLEAR MIGRATION ALONG MICROFILAMENT%GOBP%GO:0031022	2		Rejected!	
DORSAL SPINAL CORD INTERNEURON ANTERIOR AXON GUIDANCE%GOBP%GO:0097380	1		Rejected!	
NEGATIVE REGULATION OF DEADENYLATION-DEPENDENT DECAPPING OF NUCLEAR-TRANSCRIBED MRNA%GOBP%GO:0106289	1		Rejected!	
ARTERY MORPHOGENESIS%GOBP%GO:0048844	39	28		
CAP-INDEPENDENT TRANSLATIONAL INITIATION%GOBP%GO:0002190	1		Rejected!	
PYRUVATE FAMILY AMINO ACID CATABOLIC PROCESS%GOBP%GO:0009080	3		Rejected!	
POSITIVE REGULATION OF EPIDERMAL GROWTH FACTOR-ACTIVATED RECEPTOR ACTIVITY%GOBP%GO:0045741	11		Rejected!	
DETERMINATION OF VENTRAL IDENTITY%GOBP%GO:0048264	1		Rejected!	
NEGATIVE REGULATION OF MRNA 3'-END PROCESSING%GOBP%GO:0031441	2		Rejected!	
DGMP METABOLIC PROCESS%GOBP%GO:0046054	2		Rejected!	
POSITIVE REGULATION OF SEQUESTERING OF CALCIUM ION%GOBP%GO:0051284	14		Rejected!	
POSITIVE REGULATION OF SYNAPSE MATURATION%GOBP%GO:0090129	9		Rejected!	
CELLULAR RESPONSE TO TRIGLYCERIDE%GOBP%GO:0071401	1		Rejected!	
SPINAL CORD PATTERNING%GOBP%GO:0021511	8		Rejected!	
THIAMINE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0042357	2		Rejected!	
FOURTH VENTRICLE DEVELOPMENT%GOBP%GO:0021592	1		Rejected!	
VASCULAR WOUND HEALING%GOBP%GO:0061042	7		Rejected!	
HYPOXANTHINE CATABOLIC PROCESS%GOBP%GO:0009114	1		Rejected!	
REGULATION OF CHAPERONE-MEDIATED PROTEIN FOLDING%GOBP%GO:1903644	3		Rejected!	
TELENCEPHALON REGIONALIZATION%GOBP%GO:0021978	2		Rejected!	
ARTERY SMOOTH MUSCLE CONTRACTION%GOBP%GO:0014824	4		Rejected!	
MELANIN BIOSYNTHETIC PROCESS FROM TYROSINE%GOBP%GO:0006583	4		Rejected!	
IMMUNE RESPONSE TO TUMOR CELL%GOBP%GO:0002418	7		Rejected!	
NEGATIVE REGULATION OF CITRULLINE BIOSYNTHETIC PROCESS%GOBP%GO:1903249	1		Rejected!	
REGULATION OF HISTONE DEACETYLATION%GOBP%GO:0031063	31	26		
CELL DIVISION%GOBP%GO:0051301	152	106		
ETHYLENE METABOLIC PROCESS%GOBP%GO:0009692	1		Rejected!	
MONOCARBOXYLIC ACID TRANSPORT%GOBP%GO:0015718	117	45		
POSITIVE REGULATION OF NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0030810	13		Rejected!	
REGULATION OF SYSTEMIC ARTERIAL BLOOD PRESSURE MEDIATED BY A CHEMICAL SIGNAL%GOBP%GO:0003044	35		Rejected!	
FUMARATE METABOLIC PROCESS%GOBP%GO:0006106	1		Rejected!	
NEGATIVE REGULATION OF INTEGRIN ACTIVATION%GOBP%GO:0033624	3		Rejected!	
POSITIVE REGULATION OF DEFENSE RESPONSE TO BACTERIUM%GOBP%GO:1900426	12		Rejected!	
CELL MIGRATION INVOLVED IN GASTRULATION%GOBP%GO:0042074	5		Rejected!	
SPINDLE CHECKPOINT SIGNALING%GOBP%GO:0031577	28	15		
INTERLEUKIN-6-MEDIATED SIGNALING PATHWAY%GOBP%GO:0070102	14		Rejected!	
POSITIVE REGULATION OF ASTROCYTE CHEMOTAXIS%GOBP%GO:2000464	1		Rejected!	
CILIARY BASAL BODY ORGANIZATION%GOBP%GO:0032053	4		Rejected!	
